단어	품사	뜻	발음기호	예문1	예문1 해석	예문2	예문2 해석	메모
gulp	noun	한 모금, 꿀꺽 삼킴	/ɡʌlp/	He took a gulp of cold water.	그는 차가운 물을 한 모금 마셨다.	She gave a nervous gulp.	그녀는 긴장해서 침을 꿀꺽 삼켰다.	명사로도 사용
collapse	verb	붕괴하다, 무너지다, 쓰러지다	/kəˈlæps/	The old building collapsed.	그 오래된 건물이 무너졌다.	He collapsed from exhaustion.	그는 피로로 쓰러졌다.	건물/사람/경제 모두 가능
collapse	noun	붕괴, 몰락	/kəˈlæps/	The collapse of the bridge shocked everyone.	다리의 붕괴는 모두를 충격에 빠뜨렸다.	The company faced financial collapse.	그 회사는 재정 붕괴에 직면했다.	명사 의미
cavity	noun	구멍, 빈 공간, 충치	/ˈkævəti/	The dentist found a cavity in my tooth.	치과의사가 내 치아에서 충치를 발견했다.	There is a small cavity inside the rock.	그 바위 안에는 작은 빈 공간이 있다.	치과에서는 충치
vessel	noun	배, 선박	/ˈvesl/	The vessel left the port at night.	그 선박은 밤에 항구를 떠났다.	A fishing vessel was seen near the island.	어선 한 척이 그 섬 근처에서 목격되었다.	ship보다 공식적
vessel	noun	혈관, 그릇, 용기	/ˈvesl/	Blood vessels carry blood through the body.	혈관은 몸 전체로 피를 운반한다.	The liquid was stored in a glass vessel.	그 액체는 유리 용기에 보관되었다.	의학/과학에서도 사용
make up	phrasal verb	구성하다, 이루다	/meɪk ʌp/	Women make up half of the team.	여성이 그 팀의 절반을 이룬다.	Several parts make up the machine.	여러 부품이 그 기계를 구성한다.	구성하다 의미
make up	phrasal verb	만들어내다, 지어내다	/meɪk ʌp/	He made up an excuse.	그는 변명을 지어냈다.	She made up a story for the children.	그녀는 아이들을 위해 이야기를 지어냈다.	거짓말/이야기 만들기
make up	phrasal verb	화해하다	/meɪk ʌp/	They argued but made up later.	그들은 다퉜지만 나중에 화해했다.	I hope you two make up soon.	너희 둘이 곧 화해하길 바란다.	사람 관계 회복
set out	phrasal verb	출발하다	/set aʊt/	We set out early in the morning.	우리는 이른 아침에 출발했다.	They set out on a long journey.	그들은 긴 여행을 떠났다.	여행/이동 시작
set out	phrasal verb	착수하다, 시작하다	/set aʊt/	She set out to prove her idea.	그녀는 자신의 생각을 증명하기 시작했다.	We set out to solve the problem.	우리는 그 문제를 해결하기 시작했다.	set out to V
vocation	noun	직업, 천직	/voʊˈkeɪʃn/	Teaching is her vocation.	가르치는 일은 그녀의 천직이다.	He found his vocation in medicine.	그는 의학에서 자신의 천직을 찾았다.	job보다 소명감 있는 직업
durable	adjective	내구성이 있는, 오래가는	/ˈdʊrəbl/	This bag is very durable.	이 가방은 매우 내구성이 좋다.	We need durable materials for the project.	우리는 그 프로젝트에 내구성 있는 재료가 필요하다.	제품/재료에 자주 사용
avid	adjective	열심인, 열렬한	/ˈævɪd/	She is an avid reader.	그녀는 열렬한 독서가이다.	He is an avid fan of baseball.	그는 야구의 열렬한 팬이다.	avid reader/fan 자주 사용
eager	adjective	열망하는, 간절히 바라는	/ˈiːɡər/	She is eager to learn English.	그녀는 영어를 배우고 싶어 한다.	The children were eager for the trip.	아이들은 그 여행을 몹시 기대했다.	be eager to V / eager for
resort	noun	휴양지, 리조트	/rɪˈzɔːrt/	They stayed at a beach resort.	그들은 해변 리조트에 머물렀다.	The ski resort opens in December.	그 스키 리조트는 12월에 문을 연다.	휴양 시설
resort	verb	의지하다, 기대다	/rɪˈzɔːrt/	They resorted to violence.	그들은 폭력에 의존했다.	We should not resort to cheap tricks.	우리는 얄팍한 속임수에 의지해서는 안 된다.	resort to 형태
fine	adjective	미세한, 고운	/faɪn/	The powder is very fine.	그 가루는 매우 곱다.	Fine dust can be harmful to health.	미세먼지는 건강에 해로울 수 있다.	네 단어장 뜻 기준
fine	adjective	괜찮은, 좋은	/faɪn/	I’m fine, thank you.	저는 괜찮습니다, 감사합니다.	The weather is fine today.	오늘 날씨가 좋다.	일상에서 매우 자주 사용
fine	noun	벌금	/faɪn/	He had to pay a parking fine.	그는 주차 벌금을 내야 했다.	The company received a large fine.	그 회사는 큰 벌금을 부과받았다.	명사 의미도 중요
draw back	phrasal verb	물러서다, 뒤로 물러나다	/drɔː bæk/	She drew back in fear.	그녀는 두려워서 뒤로 물러섰다.	He drew back from the edge of the cliff.	그는 절벽 끝에서 뒤로 물러섰다.	물리적으로 물러남
drawback	noun	단점, 결점	/ˈdrɔːbæk/	The main drawback is the high cost.	가장 큰 단점은 높은 비용이다.	This plan has one serious drawback.	이 계획에는 심각한 단점이 하나 있다.	붙여 쓰면 명사 drawback
contractor	noun	계약자, 도급업자, 청부업자	/ˈkɑːntræktər/	The contractor finished the building on time.	그 시공업자는 건물을 제시간에 완성했다.	We hired a contractor to repair the roof.	우리는 지붕을 수리하기 위해 도급업자를 고용했다.	공사/계약 관련
scoot	verb	서둘러 가다, 재빨리 움직이다	/skuːt/	I have to scoot now.	나 이제 빨리 가야 해.	The child scooted across the floor.	그 아이는 바닥을 가로질러 재빨리 움직였다.	구어체 느낌
hardcore	adjective	강경한, 핵심적인, 열성적인	/ˈhɑːrdkɔːr/	He is a hardcore fan of the band.	그는 그 밴드의 열성 팬이다.	The policy was supported by hardcore members.	그 정책은 강경파 구성원들의 지지를 받았다.	강한/열성적인 느낌
uncle	noun	삼촌, 외삼촌, 고모부, 이모부	/ˈʌŋkl/	My uncle lives in Busan.	우리 삼촌은 부산에 산다.	She visited her uncle last weekend.	그녀는 지난 주말에 삼촌을 방문했다.	한국어 친족어 여러 개를 포괄
admittance	noun	입장, 들어감, 출입 허가	/ədˈmɪtns/	No admittance without permission.	허가 없이 출입 금지.	Admittance is free for children.	어린이는 무료 입장이다.	admission과 비슷하지만 표지판에서 자주 보임
afflict	verb	괴롭히다, 피해를 입히다	/əˈflɪkt/	The disease afflicted many people.	그 질병은 많은 사람들을 괴롭혔다.	The region was afflicted by floods.	그 지역은 홍수로 피해를 입었다.	수동태 be afflicted by/with 자주 사용
commotion	noun	소란, 소동	/kəˈmoʊʃn/	There was a commotion outside the building.	건물 밖에서 소란이 있었다.	The loud noise caused a commotion.	그 큰 소음이 소동을 일으켰다.	시끄러운 혼란
on my way	phrase	가는 중에, 가는 길에	/ɑːn maɪ weɪ/	I’m on my way to work.	나는 출근하는 길이다.	I’ll call you on my way home.	집에 가는 길에 전화할게.	일상 회화에서 매우 자주 사용
freak out	phrasal verb	겁먹다, 흥분하다, 기겁하다	/friːk aʊt/	Don't freak out about the exam.	시험 때문에 너무 겁먹지 마.	She freaked out when she saw the spider.	그녀는 거미를 보고 기겁했다.	구어체 표현
cooper	noun	통 제조업자, 통 만드는 사람	/ˈkuːpər/	The cooper repaired the wooden barrel.	통 제조업자가 나무통을 고쳤다.	In the past, a cooper made barrels by hand.	과거에는 통 제조업자가 손으로 통을 만들었다.	요즘은 드문 직업명
notion	noun	개념, 생각	/ˈnoʊʃn/	He rejected the notion that money brings happiness.	그는 돈이 행복을 가져온다는 생각을 거부했다.	This theory is based on a simple notion.	이 이론은 단순한 개념에 기반한다.	idea보다 약간 추상적
mangle	verb	짓이기다, 심하게 훼손하다	/ˈmæŋɡl/	The machine mangled the metal sheet.	그 기계는 금속판을 심하게 망가뜨렸다.	He mangled the pronunciation of my name.	그는 내 이름의 발음을 엉망으로 했다.	물리적 손상/말을 엉망으로 함
backtrack	verb	되돌아가다, 이전 입장을 철회하다	/ˈbæktræk/	We had to backtrack to find the right path.	우리는 올바른 길을 찾기 위해 되돌아가야 했다.	The politician backtracked on his promise.	그 정치인은 자신의 약속을 철회했다.	길/말/입장 모두 가능
outrun	verb	~보다 빨리 달리다, 앞지르다	/ˌaʊtˈrʌn/	He can outrun most of his classmates.	그는 반 친구들 대부분보다 빨리 달릴 수 있다.	The car outran the police.	그 차는 경찰을 따돌리고 달아났다.	out-는 “~보다 더” 느낌
perimeter	noun	둘레, 경계	/pəˈrɪmɪtər/	Find the perimeter of the rectangle.	직사각형의 둘레를 구해라.	Guards stood around the perimeter of the building.	경비원들이 건물 경계 주변에 서 있었다.	수학/경계 둘 다
fine	noun	벌금	/faɪn/	He paid a fine for speeding.	그는 과속으로 벌금을 냈다.	The company received a large fine.	그 회사는 큰 벌금을 부과받았다.	명사일 때 벌금
fine	adjective	미세한, 고운	/faɪn/	Fine dust can harm your health.	미세먼지는 건강에 해로울 수 있다.	The powder is very fine.	그 가루는 매우 곱다.	미세한/섬세한 의미
fine	adjective	괜찮은, 좋은	/faɪn/	I’m fine, thank you.	저는 괜찮습니다, 감사합니다.	The weather is fine today.	오늘 날씨가 좋다.	일상 의미도 매우 중요
bureaucrat	noun	관료, 공무원	/ˈbjʊrəkræt/	The bureaucrat explained the new policy.	그 관료는 새 정책을 설명했다.	Many people complained about slow bureaucrats.	많은 사람들이 느린 관료들에게 불평했다.	bureaucracy 관련 단어
riot	noun	폭동, 소동	/ˈraɪət/	A riot broke out after the game.	경기 후 폭동이 일어났다.	The police tried to stop the riot.	경찰은 폭동을 막으려 했다.	violent crowd 느낌
riot	verb	폭동을 일으키다	/ˈraɪət/	People rioted in the streets.	사람들이 거리에서 폭동을 일으켰다.	The crowd rioted after the decision.	군중은 그 결정 이후 폭동을 일으켰다.	동사로도 사용
consecutive	adjective	연속적인, 잇따른	/kənˈsekjətɪv/	She won three consecutive games.	그녀는 세 경기 연속으로 이겼다.	It rained for five consecutive days.	비가 5일 연속으로 내렸다.	숫자와 자주 사용
ration	noun	배급량	/ˈræʃn/	Each soldier received a daily ration of food.	각 군인은 하루 식량 배급량을 받았다.	Water rations were limited during the drought.	가뭄 동안 물 배급량이 제한되었다.	군대/비상 상황
ration	verb	배급하다, 제한하여 나누다	/ˈræʃn/	The government rationed fuel during the crisis.	정부는 위기 동안 연료를 배급했다.	Food had to be rationed carefully.	식량은 신중하게 배급되어야 했다.	자원이 부족할 때
all-time low	noun phrase	사상 최저치	/ˌɔːl taɪm ˈloʊ/	Unemployment reached an all-time low.	실업률이 사상 최저치에 도달했다.	The stock price fell to an all-time low.	주가가 사상 최저치로 떨어졌다.	수치/기록에 사용
charter	noun	헌장, 선언문, 특허장	/ˈtʃɑːrtər/	The organization adopted a new charter.	그 단체는 새 헌장을 채택했다.	The city was granted a charter in the 1800s.	그 도시는 1800년대에 특허장을 받았다.	권리/규칙을 명시한 문서
charter	verb	전세 내다, 빌리다	/ˈtʃɑːrtər/	They chartered a bus for the trip.	그들은 여행을 위해 버스를 전세 냈다.	The company chartered a plane.	그 회사는 비행기를 전세 냈다.	교통수단을 통째로 빌림
allege	verb	증거 없이 주장하다, 혐의를 제기하다	/əˈledʒ/	They allege that the company broke the law.	그들은 그 회사가 법을 어겼다고 주장한다.	He was alleged to have stolen the money.	그는 그 돈을 훔친 혐의를 받았다.	법률/뉴스에서 자주 사용
execution	noun	처형, 사형 집행	/ˌeksɪˈkjuːʃn/	The execution was delayed by the court.	그 처형은 법원에 의해 연기되었다.	The prisoner faced execution.	그 죄수는 사형 집행을 앞두고 있었다.	법적 사형 집행
execution	noun	실행, 수행	/ˌeksɪˈkjuːʃn/	The execution of the plan was successful.	그 계획의 실행은 성공적이었다.	Good ideas need careful execution.	좋은 아이디어에는 신중한 실행이 필요하다.	계획/업무 실행
break out	phrasal verb	발생하다, 갑자기 시작되다	/breɪk aʊt/	A fire broke out in the kitchen.	부엌에서 화재가 발생했다.	War broke out in 1939.	전쟁은 1939년에 발발했다.	화재/전쟁/질병 발생
